family,model,condition,question_type,n_records,mean_gold_evidence_faithfulness
ablation,models/gemini-2.5-flash,advanced_rag_HS,boundary,15,0.6
ablation,models/gemini-2.5-flash,advanced_rag_HS,factual_extractive,30,0.55
ablation,models/gemini-2.5-flash,advanced_rag_HS,multi_section_reasoning,35,0.652383
ablation,models/gemini-2.5-flash,advanced_rag_HS,structural,20,0.508335
ablation,models/gemini-2.5-flash,advanced_rag_MF,boundary,15,0.533333
ablation,models/gemini-2.5-flash,advanced_rag_MF,factual_extractive,30,0.55
ablation,models/gemini-2.5-flash,advanced_rag_MF,multi_section_reasoning,35,0.704763
ablation,models/gemini-2.5-flash,advanced_rag_MF,structural,20,0.425
ablation,models/gemini-2.5-flash,advanced_rag_QR,boundary,15,0.533333
ablation,models/gemini-2.5-flash,advanced_rag_QR,factual_extractive,30,0.283333
ablation,models/gemini-2.5-flash,advanced_rag_QR,multi_section_reasoning,35,0.623811
ablation,models/gemini-2.5-flash,advanced_rag_QR,structural,20,0.35
ablation,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,boundary,15,0.6
ablation,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,factual_extractive,30,0.433333
ablation,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,multi_section_reasoning,35,0.457143
ablation,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,structural,20,0.458335
ablation,models/gemini-2.5-flash,advanced_rag_RR,boundary,15,0.633333
ablation,models/gemini-2.5-flash,advanced_rag_RR,factual_extractive,30,0.4
ablation,models/gemini-2.5-flash,advanced_rag_RR,multi_section_reasoning,35,0.528571
ablation,models/gemini-2.5-flash,advanced_rag_RR,structural,20,0.45
ablation,models/gemini-2.5-flash,advanced_rag_simple_rag,boundary,15,0.7
ablation,models/gemini-2.5-flash,advanced_rag_simple_rag,factual_extractive,30,0.55
ablation,models/gemini-2.5-flash,advanced_rag_simple_rag,multi_section_reasoning,35,0.726191
ablation,models/gemini-2.5-flash,advanced_rag_simple_rag,structural,20,0.4
niah,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,boundary,5,0.4
niah,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,factual_extractive,10,0.4
niah,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,multi_section_reasoning,10,0.6
niah,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,structural,5,0.4
niah,models/gemini-2.5-flash,lc,boundary,5,0.5
niah,models/gemini-2.5-flash,lc,factual_extractive,10,0.61667
niah,models/gemini-2.5-flash,lc,multi_section_reasoning,10,0.51667
niah,models/gemini-2.5-flash,lc,structural,5,0.7
niah,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,boundary,5,0.6
niah,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,factual_extractive,10,0.5
niah,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,multi_section_reasoning,10,0.56667
niah,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,structural,5,0.2
phase1,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,boundary,50,0.53
phase1,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,factual_extractive,100,0.395
phase1,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,multi_section_reasoning,100,0.582501
phase1,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,structural,50,0.4
phase1,models/gemini-2.5-flash,lc,boundary,40,0.5875
phase1,models/gemini-2.5-flash,lc,factual_extractive,86,0.629845
phase1,models/gemini-2.5-flash,lc,multi_section_reasoning,83,0.620483
phase1,models/gemini-2.5-flash,lc,structural,40,0.5
phase1,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,boundary,50,0.616668
phase1,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,factual_extractive,100,0.44
phase1,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,multi_section_reasoning,100,0.629167
phase1,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,structural,50,0.293334
phase2,gpt-4o-mini,advanced_rag_QR_MF_HS_RR,boundary,50,0.53
phase2,gpt-4o-mini,advanced_rag_QR_MF_HS_RR,factual_extractive,100,0.436667
phase2,gpt-4o-mini,advanced_rag_QR_MF_HS_RR,multi_section_reasoning,100,0.535
phase2,gpt-4o-mini,advanced_rag_QR_MF_HS_RR,structural,50,0.38
phase2,gpt-4o-mini,lc_windowed,boundary,50,0.58
phase2,gpt-4o-mini,lc_windowed,factual_extractive,100,0.545001
phase2,gpt-4o-mini,lc_windowed,multi_section_reasoning,100,0.615
phase2,gpt-4o-mini,lc_windowed,structural,50,0.55
phase2,gpt-4o-mini,simple_rag_cs512_k5_fixed,boundary,50,0.7
phase2,gpt-4o-mini,simple_rag_cs512_k5_fixed,factual_extractive,100,0.455
phase2,gpt-4o-mini,simple_rag_cs512_k5_fixed,multi_section_reasoning,100,0.665
phase2,gpt-4o-mini,simple_rag_cs512_k5_fixed,structural,50,0.45
phase2,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,boundary,50,0.53
phase2,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,factual_extractive,100,0.36
phase2,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,multi_section_reasoning,100,0.566667
phase2,models/gemini-2.5-flash,advanced_rag_QR_MF_HS_RR,structural,50,0.34
phase2,models/gemini-2.5-flash,lc,boundary,50,0.67
phase2,models/gemini-2.5-flash,lc,factual_extractive,100,0.558333
phase2,models/gemini-2.5-flash,lc,multi_section_reasoning,100,0.568335
phase2,models/gemini-2.5-flash,lc,structural,50,0.44
phase2,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,boundary,50,0.64
phase2,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,factual_extractive,100,0.4725
phase2,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,multi_section_reasoning,100,0.692501
phase2,models/gemini-2.5-flash,simple_rag_cs512_k5_fixed,structural,50,0.37
